piton/tools/perlmod/Tie/IxHash.pm:106:  return $_[0][1][$_[0][3]++] if ($_[0][3] <= $#{$_[0][1]});
piton/tools/perlmod/Tie/IxHash.pm:311:  if (defined $i and $i <= $#{$s->[1]} and $i >= 0) {
piton/tools/src/goldfinger/gf_error.c:199:  if((size <= 0) || (size > 64)) {
piton/design/common/uart_pkttrace_dump/rtl/uart_serializer.v:71:        pkt_val_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/uart_serializer.v:72:        pkt_data_f <= {(PACKET_LEN_BYTES*8){1'b0}};
piton/design/common/uart_pkttrace_dump/rtl/uart_serializer.v:73:        byte_counter_f <= {PACKET_LEN_BYTES_LOG2{1'b0}};
piton/design/common/uart_pkttrace_dump/rtl/process_pkt_complete.v:63:        process_pkt_noc_rdy_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/process_pkt_complete.v:64:        process_pkt_uart_rdy_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:132:        side1_pkttrace_noc1_val_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:133:        side1_pkttrace_noc2_val_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:134:        side1_pkttrace_noc3_val_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:136:        side2_pkttrace_noc1_val_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:137:        side2_pkttrace_noc2_val_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:138:        side2_pkttrace_noc3_val_f <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:140:        process_pkt_val <= 1'b0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:141:        process_pkt_noc <= 2'd0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:142:        process_pkt_side <= 2'd0;
piton/design/common/uart_pkttrace_dump/rtl/mux_process_pkt.v:143:        process_pkt_data <= {`NOC_DATA_WIDTH{1'b0}};
piton/design/common/rtl/alarm_counter.v:58:        count_f <= {COUNTER_WIDTH{1'b0}};
piton/design/common/rtl/bram_1rw_wrapper.v:134:      bist_index <= 0;
piton/design/common/rtl/bram_1rw_wrapper.v:135:      init_done <= 0;
piton/design/common/rtl/async_fifo.v:122:		g_rptr <= 0;
piton/design/common/rtl/async_fifo.v:134:		g_wptr <= 0;
piton/design/common/rtl/bram_1r1w_wrapper.v:160:      bist_index <= 0;
piton/design/common/rtl/bram_1r1w_wrapper.v:161:      init_done <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:131:        select_reg <= 2'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:141:        credit_1 <= 9'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:142:        credit_2 <= 9'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:143:        credit_3 <= 9'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:144:        sel_23 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:145:        sel_13 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:146:        sel_12 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:147:        sel_123 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:149:        select_counter <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:154:            select_counter <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:157:            select_counter <= select_counter + 2'b01;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:175:            sel_123 <= 2'b01;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:190:            sel_12 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:199:            sel_23 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:200:            sel_13 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_16.v:202:                sel_123 <= 2'b01;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:136:        rdy_1_f <= 1'b0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:137:        rdy_2_f <= 1'b0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:138:        rdy_3_f <= 1'b0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:149:        select_reg <= 2'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:158:        credit_1 <= 9'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:159:        credit_2 <= 9'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:160:        credit_3 <= 9'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:161:        sel_23 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:162:        sel_13 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:163:        sel_12 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:164:        sel_123 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:166:        select_counter <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:171:            select_counter <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:174:            select_counter <= select_counter + 2'b01; 
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:192:            sel_123 <= 2'b01;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:207:            sel_12 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:216:            sel_23 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:217:            sel_13 <= 0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_net_chooser_32.v:219:                sel_123 <= 2'b01;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:174:        serial_buffer_data [0] <= 16'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:175:        serial_buffer_data [1] <= 16'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:176:        serial_buffer_data [2] <= 16'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:177:        serial_buffer_data [3] <= 16'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:178:        serial_buffer_channel <= 2'd0;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:184:            serial_buffer_data[0] <= data_to_serial_buffer[15:0];
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:190:            serial_buffer_data_counter <= serial_buffer_data_counter + 2'b01;
piton/design/common/fpga_bridge/fpga_send/rtl/fpga_bridge_send_16.v:193:            serial_buffer_data_counter <= serial_buffer_data_counter + 2'b01;
